Serial number;ASIN;Title;Brand;Price;Rating;Reviews
1;B09R6FNNS1;"Dell Inspiron 15.6"" FHD, Intel Core i3";Dell;$479.99;4.2;763
2;B0H1B52K5G;"Exilapsire 16"" Business Laptop, Win11";Exilapsire;$279.99;3.8;23
3;B0G78Y2ZG8;"DEHEYA 15.6"" Laptop, 8GB RAM, 256GB";DEHEYA;$289.99;4.0;27
4;B0GR6BVYS5;"Apple MacBook Neo 13"" M4 Chip 2026";Apple;$1,299.99;4.7;1303
5;B0GR1JK9W3;"Apple MacBook Pro 14"" M4 Pro 2026";Apple;$1,999.99;4.8;179
6;B0H8Y6KX3W;"HP 14"" Essential Laptop, Celeron";HP;$249.99;3.5;15
7;B0K2L9M7P4;"ASUS VivoBook 15.6"" FHD, Ryzen 5";ASUS;$649.99;4.3;412
8;B0J3N8R6T1;"Acer Nitro 5 Gaming, i5, RTX 3050";Acer;$879.99;4.1;891
9;B0M4Q2W8E5;"Lenovo IdeaPad 3 14"" HD, Celeron";Lenovo;$219.99;3.2;234
10;B0L5P9X2C7;"MSI Katana 17, i7, RTX 4060";MSI;$1,299.99;4.6;67
11;B0N1R3Y6U8;"Samsung Galaxy Book 3, 13.3"" AMOLED";Samsung;$899.99;4.4;302
12;B0P2S5T9V3;"HP Pavilion 16, Ryzen 7, 512GB";HP;$749.99;4.0;198
13;B0Q3U7W2E4;"Dell XPS 13 Plus, i7, 16GB, 4K";Dell;$1,599.99;4.9;554
14;B0R4V8X3A6;"Lenovo ThinkPad E15, i5, 8GB";Lenovo;$879.99;4.2;176
15;B0S5W9Y4B7;"ASUS TUF Gaming A15, Ryzen 7, RTX 4070";ASUS;$1,249.99;4.5;411
16;B0T6X1Z5C8;"Acer Swift 3, 14"" 2K, i7, 16GB";Acer;$999.99;4.1;289
17;B0U7Y2A6D9;"Microsoft Surface Laptop 5, 13.5""";Microsoft;$1,299.99;4.5;143
18;B0V8Z3B7E1;"Razer Blade 15, i9, RTX 4080, 32GB";Razer;$2,799.99;4.8;92
19;B0W9A4C8F2;"HP Envy x360 2-in-1, 15.6"" FHD";HP;$899.99;4.3;315
20;B0X1B5D9G3;"Dell G15 Gaming, i5, RTX 3050";Dell;$799.99;3.9;673
21;B0Y2C6E1H4;"Lenovo Legion 5 Pro, i7, RTX 3070 Ti";Lenovo;$1,699.99;4.9;207
22;B0Z3D7F2I5;"ASUS ZenBook 14 OLED, i7, 16GB";ASUS;$1,199.99;4.6;521
23;B0A4E8G3J6;"Acer Predator Helios 300, i9, RTX 4080";Acer;$2,199.99;4.7;188
24;B0B5F9H4K7;"HP Victus 15, Ryzen 5, RTX 2050";HP;$649.99;3.4;432
25;B0C6G1I5L8;"Dell Latitude 5430, i5, 16GB";Dell;$1,099.99;4.2;76
26;B0D7H2J6M9;"Apple MacBook Air M3, 13.6""";Apple;$1,099.99;4.9;2014
27;B0E8I3K7N1;"Samsung Galaxy Book Pro 360, 15.6""";Samsung;$1,349.99;4.3;311
28;B0F9J4L8O2;"ASUS ROG Zephyrus G14, Ryzen 9, RTX 4090";ASUS;$2,499.99;4.8;134
29;B0G1K5M9P3;"Lenovo Yoga 9i, 14"" 4K, i7, 16GB";Lenovo;$1,699.99;4.6;289
30;B0H2L6N1Q4;"Acer Aspire 5, 15.6"" FHD, i5, 8GB";Acer;$479.99;3.8;1023
31;B0I3M7O2R5;"MSI Prestige 14, i7, 16GB, 1TB";MSI;$1,149.99;4.1;112
32;B0J4N8P3S6;"HP Spectre x360, 16"", i7, 32GB";HP;$1,899.99;4.7;247
33;B0K5O9Q4T7;"Dell Inspiron 16, Ryzen 7, 16GB";Dell;$899.99;4.0;408
34;B0L6P1R5U8;"ASUS Chromebook Flip CX5, 15.6""";ASUS;$549.99;3.7;53
35;B0M7Q2S6V9;"Lenovo ThinkBook 15, i5, 8GB";Lenovo;$729.99;4.2;165
36;B0N8R3T7W1;"Acer TravelMate P4, i7, 16GB";Acer;$1,049.99;4.3;88
37;B0O9S4U8X2;"Microsoft Surface Pro 9, i7, 16GB";Microsoft;$1,399.99;4.4;521
38;B0P1T5V9Y3;"Razer Book 13, i7, 16GB, 4K Touch";Razer;$1,999.99;3.9;47
39;B0Q2U6W1Z4;"HP EliteBook 840 G9, i5, 16GB";HP;$1,449.99;4.5;95
40;B0R3V7X2A5;"Dell Precision 5570, i9, 32GB";Dell;$2,299.99;4.7;61
41;B0S4W8Y3B6;"Lenovo Legion Slim 7, Ryzen 7, RTX 4060";Lenovo;$1,399.99;4.4;302
42;B0T5X9Z4C7;"ASUS VivoBook Pro 16X, i9, RTX 4070";ASUS;$1,799.99;4.6;198
43;B0U6Y1A5D8;"Acer Spin 5, 13.5"" 2K, i7, 16GB";Acer;$1,099.99;4.1;134
44;B0V7Z2B6E9;"Samsung Galaxy Book 2 Pro, 14""";Samsung;$1,199.99;4.2;276
45;B0W8A3C7F1;"MSI GF63 Thin, i5, RTX 3050";MSI;$749.99;3.6;612
46;B0X9B4D8G2;"HP Omen 17, i9, RTX 4080, 32GB";HP;$2,099.99;4.8;177
47;B0Y1C5E9H3;"Lenovo IdeaPad Flex 5, 14"" 2-in-1";Lenovo;$699.99;4.0;489
48;B0Z2D6F1I4;"Dell XPS 17, i7, 32GB, 4K, RTX 4070";Dell;$2,549.99;4.9;203
49;B0A3E7G2J5;"ASUS ROG Strix G16, i7, RTX 4060";ASUS;$1,399.99;4.5;514
50;B0B4F8H3K6;"Apple MacBook Pro 16"" M3 Max";Apple;$2,799.99;4.9;1876
51;B0C5G9I4L7;"Dell Inspiron 14 2-in-1, Ryzen 5";Dell;$699.99;3.8;289
52;B0D6H1J5M8;"Lenovo IdeaPad Gaming 3, i5, RTX 3050";Lenovo;$799.99;4.1;567
53;B0E7I2K6N9;"ASUS TUF Dash F15, i7, RTX 3070";ASUS;$1,299.99;4.4;198
54;B0F8J3L7O1;"Acer Swift X, Ryzen 7, RTX 3050 Ti";Acer;$1,049.99;4.3;321
55;B0G9K4M8P2;"HP ProBook 450 G9, i5, 8GB";HP;$849.99;3.7;134
56;B0H1L5N9Q3;"MSI Creator Z16, i9, RTX 3080, 32GB";MSI;$2,499.99;4.6;76
